big_ups_rpt.txt

This report shows that Mean-Reversion is comparatively weak
when stocks move sharply up.



dan@ub97hp_scikit ~/hr $ ./psql.bash -f big_ups_rpt.sql 
--
-- big_ups_rpt.sql
--
-- I use this script to study Mean-Reversion in the Stock Market.
-- Now I am ready to report.
\C 'Next day summary of stocks which upped 2% or more the day before:'
Title is "Next day summary of stocks which upped 2% or more the day before:".
SELECT 
tkr ticker
,COUNT(ydate) event_count
,MIN(ydate)   min_date
,MAX(ydate)   max_date
,ROUND(100*AVG(nlg1),3)    avg_day1_pct_up
,ROUND(100*AVG(ng),3)      avg_day1_pct_gain
FROM td12
WHERE nlg1 > 2.0/ 100.0
AND ydate > '2008-01-01'
AND ng IS NOT NULL
GROUP BY tkr ORDER BY AVG(ng)
;
          Next day summary of stocks which upped 2% or more the day before:
 ticker | event_count |  min_date  |  max_date  | avg_day1_pct_up | avg_day1_pct_gain 
 GILD   |         189 | 2008-01-03 | 2014-01-30 |           3.350 |            -0.066
 MAR    |         237 | 2008-01-09 | 2013-12-18 |           3.726 |            -0.064
 FISV   |         126 | 2008-01-28 | 2014-01-22 |           3.251 |            -0.064
 MDLZ   |          81 | 2008-01-10 | 2013-11-14 |           3.067 |            -0.063
 OXY    |         230 | 2008-01-03 | 2013-12-18 |           3.697 |            -0.062
 UDOW   |         186 | 2010-02-16 | 2014-01-15 |           3.811 |            -0.060
 MET    |         278 | 2008-01-10 | 2013-12-18 |           4.553 |            -0.060
 EQIX   |         251 | 2008-01-10 | 2014-01-23 |           3.836 |            -0.060
 CF     |         333 | 2008-01-03 | 2014-01-10 |           3.980 |            -0.057
 YUM    |         158 | 2008-01-07 | 2013-11-22 |           3.398 |            -0.057
 CSCO   |         159 | 2008-01-09 | 2013-12-23 |           3.565 |            -0.057
 TXI    |         344 | 2008-01-10 | 2014-01-28 |           4.360 |            -0.054
 OCN    |         266 | 2008-01-15 | 2013-12-04 |           3.909 |            -0.054
 MRK    |         125 | 2008-01-08 | 2014-01-30 |           3.357 |            -0.053
